Type,CreatedAt,Count
RETWEET,2019-05-25 12:00:00+03:00,68
RETWEET,2019-05-25 15:00:00+03:00,110
RETWEET,2019-05-25 18:00:00+03:00,166
RETWEET,2019-05-25 21:00:00+03:00,109
RETWEET,2019-05-26 00:00:00+03:00,62
RETWEET,2019-05-26 03:00:00+03:00,19
RETWEET,2019-05-26 06:00:00+03:00,29
RETWEET,2019-05-26 09:00:00+03:00,99
RETWEET,2019-05-26 12:00:00+03:00,268
RETWEET,2019-05-26 15:00:00+03:00,328
RETWEET,2019-05-26 18:00:00+03:00,475
RETWEET,2019-05-26 21:00:00+03:00,491
RETWEET,2019-05-27 00:00:00+03:00,373
RETWEET,2019-05-27 03:00:00+03:00,31
RETWEET,2019-05-27 06:00:00+03:00,71
RETWEET,2019-05-27 09:00:00+03:00,180
RETWEET,2019-05-27 12:00:00+03:00,128
RETWEET,2019-05-27 15:00:00+03:00,103
RETWEET,2019-05-27 18:00:00+03:00,103
RETWEET,2019-05-27 21:00:00+03:00,105
RETWEET,2019-05-28 00:00:00+03:00,53
RETWEET,2019-05-28 03:00:00+03:00,32
RETWEET,2019-05-28 06:00:00+03:00,29
RETWEET,2019-05-28 09:00:00+03:00,74
RETWEET,2019-05-28 12:00:00+03:00,69
RETWEET,2019-05-28 15:00:00+03:00,61
RETWEET,2019-05-28 18:00:00+03:00,91
RETWEET,2019-05-28 21:00:00+03:00,91
RETWEET,2019-05-29 00:00:00+03:00,34
RETWEET,2019-05-29 03:00:00+03:00,20
RETWEET,2019-05-29 06:00:00+03:00,31
RETWEET,2019-05-29 09:00:00+03:00,53
RETWEET,2019-05-29 12:00:00+03:00,73
RETWEET,2019-05-29 15:00:00+03:00,54
RETWEET,2019-05-29 18:00:00+03:00,84
RETWEET,2019-05-29 21:00:00+03:00,38
RETWEET,2019-05-30 00:00:00+03:00,22
RETWEET,2019-05-30 03:00:00+03:00,2
RETWEET,2019-05-30 06:00:00+03:00,13
RETWEET,2019-05-30 09:00:00+03:00,25
RETWEET,2019-05-30 12:00:00+03:00,19
RETWEET,2019-05-30 15:00:00+03:00,40
RETWEET,2019-05-30 18:00:00+03:00,35
RETWEET,2019-05-30 21:00:00+03:00,24
RETWEET,2019-05-31 00:00:00+03:00,31
RETWEET,2019-05-31 03:00:00+03:00,2
RETWEET,2019-05-31 06:00:00+03:00,14
RETWEET,2019-05-31 09:00:00+03:00,25
RETWEET,2019-05-31 12:00:00+03:00,30
RETWEET,2019-05-31 15:00:00+03:00,34
RETWEET,2019-05-31 18:00:00+03:00,23
RETWEET,2019-05-31 21:00:00+03:00,29
RETWEET,2019-06-01 00:00:00+03:00,29
RETWEET,2019-06-01 03:00:00+03:00,9
RETWEET,2019-06-01 06:00:00+03:00,8
RETWEET,2019-06-01 09:00:00+03:00,60
RETWEET,2019-06-01 12:00:00+03:00,4
TWEET,2019-05-20 09:00:00+03:00,1
TWEET,2019-05-20 12:00:00+03:00,20
TWEET,2019-05-20 15:00:00+03:00,15
TWEET,2019-05-20 18:00:00+03:00,6
TWEET,2019-05-20 21:00:00+03:00,4
TWEET,2019-05-21 00:00:00+03:00,8
TWEET,2019-05-21 03:00:00+03:00,3
