Class,CreatedAt,Count
ACTIVE,2011-03-31 00:00:00+00:00,144
ACTIVE,2011-04-30 00:00:00+00:00,109
ACTIVE,2011-05-31 00:00:00+00:00,214
ACTIVE,2011-06-30 00:00:00+00:00,188
ACTIVE,2011-07-31 00:00:00+00:00,146
ACTIVE,2011-08-31 00:00:00+00:00,123
ACTIVE,2011-09-30 00:00:00+00:00,169
ACTIVE,2011-10-31 00:00:00+00:00,225
ACTIVE,2011-11-30 00:00:00+00:00,263
ACTIVE,2011-12-31 00:00:00+00:00,106
ACTIVE,2012-01-31 00:00:00+00:00,135
ACTIVE,2012-02-29 00:00:00+00:00,132
ACTIVE,2012-03-31 00:00:00+00:00,116
ACTIVE,2012-04-30 00:00:00+00:00,142
ACTIVE,2012-05-31 00:00:00+00:00,168
ACTIVE,2012-06-30 00:00:00+00:00,112
ACTIVE,2012-07-31 00:00:00+00:00,89
ACTIVE,2012-08-31 00:00:00+00:00,84
ACTIVE,2012-09-30 00:00:00+00:00,100
ACTIVE,2012-10-31 00:00:00+00:00,75
ACTIVE,2012-11-30 00:00:00+00:00,86
ACTIVE,2012-12-31 00:00:00+00:00,73
ACTIVE,2013-01-31 00:00:00+00:00,102
ACTIVE,2013-02-28 00:00:00+00:00,65
ACTIVE,2013-03-31 00:00:00+00:00,91
ACTIVE,2013-04-30 00:00:00+00:00,82
ACTIVE,2013-05-31 00:00:00+00:00,71
ACTIVE,2013-06-30 00:00:00+00:00,77
ACTIVE,2013-07-31 00:00:00+00:00,63
ACTIVE,2013-08-31 00:00:00+00:00,37
ACTIVE,2013-09-30 00:00:00+00:00,70
ACTIVE,2013-10-31 00:00:00+00:00,79
ACTIVE,2013-11-30 00:00:00+00:00,69
ACTIVE,2013-12-31 00:00:00+00:00,73
ACTIVE,2014-01-31 00:00:00+00:00,77
ACTIVE,2014-02-28 00:00:00+00:00,64
ACTIVE,2014-03-31 00:00:00+00:00,102
ACTIVE,2014-04-30 00:00:00+00:00,87
ACTIVE,2014-05-31 00:00:00+00:00,57
ACTIVE,2014-06-30 00:00:00+00:00,49
ACTIVE,2014-07-31 00:00:00+00:00,54
ACTIVE,2014-08-31 00:00:00+00:00,54
ACTIVE,2014-09-30 00:00:00+00:00,63
ACTIVE,2014-10-31 00:00:00+00:00,65
ACTIVE,2014-11-30 00:00:00+00:00,55
ACTIVE,2014-12-31 00:00:00+00:00,72
ACTIVE,2015-01-31 00:00:00+00:00,135
ACTIVE,2015-02-28 00:00:00+00:00,151
ACTIVE,2015-03-31 00:00:00+00:00,88
ACTIVE,2015-04-30 00:00:00+00:00,69
ACTIVE,2015-05-31 00:00:00+00:00,66
ACTIVE,2015-06-30 00:00:00+00:00,94
ACTIVE,2015-07-31 00:00:00+00:00,137
ACTIVE,2015-08-31 00:00:00+00:00,56
ACTIVE,2015-09-30 00:00:00+00:00,78
ACTIVE,2015-10-31 00:00:00+00:00,64
ACTIVE,2015-11-30 00:00:00+00:00,65
ACTIVE,2015-12-31 00:00:00+00:00,49
ACTIVE,2016-01-31 00:00:00+00:00,43
ACTIVE,2016-02-29 00:00:00+00:00,71
ACTIVE,2016-03-31 00:00:00+00:00,75
ACTIVE,2016-04-30 00:00:00+00:00,58
ACTIVE,2016-05-31 00:00:00+00:00,56
ACTIVE,2016-06-30 00:00:00+00:00,31
ACTIVE,2016-07-31 00:00:00+00:00,41
ACTIVE,2016-08-31 00:00:00+00:00,30
ACTIVE,2016-09-30 00:00:00+00:00,42
ACTIVE,2016-10-31 00:00:00+00:00,59
ACTIVE,2016-11-30 00:00:00+00:00,67
ACTIVE,2016-12-31 00:00:00+00:00,45
ACTIVE,2017-01-31 00:00:00+00:00,78
ACTIVE,2017-02-28 00:00:00+00:00,67
ACTIVE,2017-03-31 00:00:00+00:00,75
ACTIVE,2017-04-30 00:00:00+00:00,54
ACTIVE,2017-05-31 00:00:00+00:00,45
ACTIVE,2017-06-30 00:00:00+00:00,46
ACTIVE,2017-07-31 00:00:00+00:00,59
ACTIVE,2017-08-31 00:00:00+00:00,34
ACTIVE,2017-09-30 00:00:00+00:00,37
ACTIVE,2017-10-31 00:00:00+00:00,50
ACTIVE,2017-11-30 00:00:00+00:00,46
ACTIVE,2017-12-31 00:00:00+00:00,35
ACTIVE,2018-01-31 00:00:00+00:00,52
ACTIVE,2018-02-28 00:00:00+00:00,62
ACTIVE,2018-03-31 00:00:00+00:00,53
ACTIVE,2018-04-30 00:00:00+00:00,45
ACTIVE,2018-05-31 00:00:00+00:00,46
ACTIVE,2018-06-30 00:00:00+00:00,60
ACTIVE,2018-07-31 00:00:00+00:00,64
ACTIVE,2018-08-31 00:00:00+00:00,47
ACTIVE,2018-09-30 00:00:00+00:00,69
ACTIVE,2018-10-31 00:00:00+00:00,62
ACTIVE,2018-11-30 00:00:00+00:00,52
ACTIVE,2018-12-31 00:00:00+00:00,60
ACTIVE,2019-01-31 00:00:00+00:00,59
AMPLIFIER,2006-11-30 00:00:00+00:00,1
AMPLIFIER,2006-12-31 00:00:00+00:00,1
AMPLIFIER,2007-01-31 00:00:00+00:00,1
AMPLIFIER,2007-02-28 00:00:00+00:00,0
AMPLIFIER,2007-03-31 00:00:00+00:00,3
AMPLIFIER,2007-04-30 00:00:00+00:00,2
AMPLIFIER,2007-05-31 00:00:00+00:00,1
AMPLIFIER,2007-06-30 00:00:00+00:00,4
AMPLIFIER,2007-07-31 00:00:00+00:00,1
AMPLIFIER,2007-08-31 00:00:00+00:00,4
AMPLIFIER,2007-09-30 00:00:00+00:00,1
AMPLIFIER,2007-10-31 00:00:00+00:00,2
AMPLIFIER,2007-11-30 00:00:00+00:00,0
AMPLIFIER,2007-12-31 00:00:00+00:00,7
AMPLIFIER,2008-01-31 00:00:00+00:00,2
AMPLIFIER,2008-02-29 00:00:00+00:00,2
