Type,CreatedAt,Count
QUOTE,2019-05-27 03:00:00+03:00,16
QUOTE,2019-05-27 06:00:00+03:00,48
QUOTE,2019-05-27 09:00:00+03:00,109
QUOTE,2019-05-27 12:00:00+03:00,86
QUOTE,2019-05-27 15:00:00+03:00,73
QUOTE,2019-05-27 18:00:00+03:00,51
QUOTE,2019-05-27 21:00:00+03:00,53
QUOTE,2019-05-28 00:00:00+03:00,30
QUOTE,2019-05-28 03:00:00+03:00,6
QUOTE,2019-05-28 06:00:00+03:00,21
QUOTE,2019-05-28 09:00:00+03:00,29
QUOTE,2019-05-28 12:00:00+03:00,72
QUOTE,2019-05-28 15:00:00+03:00,52
QUOTE,2019-05-28 18:00:00+03:00,57
QUOTE,2019-05-28 21:00:00+03:00,43
QUOTE,2019-05-29 00:00:00+03:00,22
QUOTE,2019-05-29 03:00:00+03:00,3
QUOTE,2019-05-29 06:00:00+03:00,11
QUOTE,2019-05-29 09:00:00+03:00,35
QUOTE,2019-05-29 12:00:00+03:00,32
QUOTE,2019-05-29 15:00:00+03:00,38
QUOTE,2019-05-29 18:00:00+03:00,18
QUOTE,2019-05-29 21:00:00+03:00,3
QUOTE,2019-05-30 00:00:00+03:00,1
QUOTE,2019-05-30 03:00:00+03:00,0
QUOTE,2019-05-30 06:00:00+03:00,0
QUOTE,2019-05-30 09:00:00+03:00,2
QUOTE,2019-05-30 12:00:00+03:00,0
QUOTE,2019-05-30 15:00:00+03:00,4
QUOTE,2019-05-30 18:00:00+03:00,3
QUOTE,2019-05-30 21:00:00+03:00,2
QUOTE,2019-05-31 00:00:00+03:00,0
QUOTE,2019-05-31 03:00:00+03:00,0
QUOTE,2019-05-31 06:00:00+03:00,1
QUOTE,2019-05-31 09:00:00+03:00,3
QUOTE,2019-05-31 12:00:00+03:00,1
QUOTE,2019-05-31 15:00:00+03:00,0
QUOTE,2019-05-31 18:00:00+03:00,8
QUOTE,2019-05-31 21:00:00+03:00,4
QUOTE,2019-06-01 00:00:00+03:00,0
QUOTE,2019-06-01 03:00:00+03:00,0
QUOTE,2019-06-01 06:00:00+03:00,1
REPLY,2019-05-20 09:00:00+03:00,14
REPLY,2019-05-20 12:00:00+03:00,76
REPLY,2019-05-20 15:00:00+03:00,62
REPLY,2019-05-20 18:00:00+03:00,76
REPLY,2019-05-20 21:00:00+03:00,116
REPLY,2019-05-21 00:00:00+03:00,37
REPLY,2019-05-21 03:00:00+03:00,11
REPLY,2019-05-21 06:00:00+03:00,29
REPLY,2019-05-21 09:00:00+03:00,75
REPLY,2019-05-21 12:00:00+03:00,102
REPLY,2019-05-21 15:00:00+03:00,102
REPLY,2019-05-21 18:00:00+03:00,99
REPLY,2019-05-21 21:00:00+03:00,109
REPLY,2019-05-22 00:00:00+03:00,48
REPLY,2019-05-22 03:00:00+03:00,7
REPLY,2019-05-22 06:00:00+03:00,31
REPLY,2019-05-22 09:00:00+03:00,78
REPLY,2019-05-22 12:00:00+03:00,88
REPLY,2019-05-22 15:00:00+03:00,88
REPLY,2019-05-22 18:00:00+03:00,76
REPLY,2019-05-22 21:00:00+03:00,119
REPLY,2019-05-23 00:00:00+03:00,61
REPLY,2019-05-23 03:00:00+03:00,5
REPLY,2019-05-23 06:00:00+03:00,22
REPLY,2019-05-23 09:00:00+03:00,86
REPLY,2019-05-23 12:00:00+03:00,75
REPLY,2019-05-23 15:00:00+03:00,69
REPLY,2019-05-23 18:00:00+03:00,59
REPLY,2019-05-23 21:00:00+03:00,87
REPLY,2019-05-24 00:00:00+03:00,41
REPLY,2019-05-24 03:00:00+03:00,16
REPLY,2019-05-24 06:00:00+03:00,16
REPLY,2019-05-24 09:00:00+03:00,56
REPLY,2019-05-24 12:00:00+03:00,92
REPLY,2019-05-24 15:00:00+03:00,98
REPLY,2019-05-24 18:00:00+03:00,91
REPLY,2019-05-24 21:00:00+03:00,160
REPLY,2019-05-25 00:00:00+03:00,89
REPLY,2019-05-25 03:00:00+03:00,11
REPLY,2019-05-25 06:00:00+03:00,40
REPLY,2019-05-25 09:00:00+03:00,96
REPLY,2019-05-25 12:00:00+03:00,106
REPLY,2019-05-25 15:00:00+03:00,104
REPLY,2019-05-25 18:00:00+03:00,81
REPLY,2019-05-25 21:00:00+03:00,104
REPLY,2019-05-26 00:00:00+03:00,65
REPLY,2019-05-26 03:00:00+03:00,21
REPLY,2019-05-26 06:00:00+03:00,46
REPLY,2019-05-26 09:00:00+03:00,104
REPLY,2019-05-26 12:00:00+03:00,136
REPLY,2019-05-26 15:00:00+03:00,97
REPLY,2019-05-26 18:00:00+03:00,165
REPLY,2019-05-26 21:00:00+03:00,262
REPLY,2019-05-27 00:00:00+03:00,203
REPLY,2019-05-27 03:00:00+03:00,30
REPLY,2019-05-27 06:00:00+03:00,76
REPLY,2019-05-27 09:00:00+03:00,155
REPLY,2019-05-27 12:00:00+03:00,131
REPLY,2019-05-27 15:00:00+03:00,176
REPLY,2019-05-27 18:00:00+03:00,119
REPLY,2019-05-27 21:00:00+03:00,196
REPLY,2019-05-28 00:00:00+03:00,62
REPLY,2019-05-28 03:00:00+03:00,6
REPLY,2019-05-28 06:00:00+03:00,35
REPLY,2019-05-28 09:00:00+03:00,109
REPLY,2019-05-28 12:00:00+03:00,85
REPLY,2019-05-28 15:00:00+03:00,239
REPLY,2019-05-28 18:00:00+03:00,189
REPLY,2019-05-28 21:00:00+03:00,161
REPLY,2019-05-29 00:00:00+03:00,54
REPLY,2019-05-29 03:00:00+03:00,15
REPLY,2019-05-29 06:00:00+03:00,58
REPLY,2019-05-29 09:00:00+03:00,84
REPLY,2019-05-29 12:00:00+03:00,74
REPLY,2019-05-29 15:00:00+03:00,83
REPLY,2019-05-29 18:00:00+03:00,58
REPLY,2019-05-29 21:00:00+03:00,49
REPLY,2019-05-30 00:00:00+03:00,36
REPLY,2019-05-30 03:00:00+03:00,5
REPLY,2019-05-30 06:00:00+03:00,33
REPLY,2019-05-30 09:00:00+03:00,59
REPLY,2019-05-30 12:00:00+03:00,72
REPLY,2019-05-30 15:00:00+03:00,77
REPLY,2019-05-30 18:00:00+03:00,76
REPLY,2019-05-30 21:00:00+03:00,70
REPLY,2019-05-31 00:00:00+03:00,53
