Type,CreatedAt,Count
REPLY,2019-05-22 00:00:00+00:00,38
REPLY,2019-05-22 03:00:00+00:00,94
REPLY,2019-05-22 06:00:00+00:00,253
REPLY,2019-05-22 09:00:00+00:00,333
REPLY,2019-05-22 12:00:00+00:00,281
REPLY,2019-05-22 15:00:00+00:00,265
REPLY,2019-05-22 18:00:00+00:00,474
REPLY,2019-05-22 21:00:00+00:00,176
REPLY,2019-05-23 00:00:00+00:00,23
REPLY,2019-05-23 03:00:00+00:00,98
REPLY,2019-05-23 06:00:00+00:00,247
REPLY,2019-05-23 09:00:00+00:00,248
REPLY,2019-05-23 12:00:00+00:00,275
REPLY,2019-05-23 15:00:00+00:00,241
REPLY,2019-05-23 18:00:00+00:00,296
REPLY,2019-05-23 21:00:00+00:00,132
REPLY,2019-05-24 00:00:00+00:00,31
REPLY,2019-05-24 03:00:00+00:00,80
REPLY,2019-05-24 06:00:00+00:00,212
REPLY,2019-05-24 09:00:00+00:00,345
REPLY,2019-05-24 12:00:00+00:00,353
REPLY,2019-05-24 15:00:00+00:00,315
REPLY,2019-05-24 18:00:00+00:00,568
REPLY,2019-05-24 21:00:00+00:00,290
REPLY,2019-05-25 00:00:00+00:00,38
REPLY,2019-05-25 03:00:00+00:00,153
REPLY,2019-05-25 06:00:00+00:00,287
REPLY,2019-05-25 09:00:00+00:00,375
REPLY,2019-05-25 12:00:00+00:00,320
REPLY,2019-05-25 15:00:00+00:00,310
REPLY,2019-05-25 18:00:00+00:00,421
REPLY,2019-05-25 21:00:00+00:00,219
REPLY,2019-05-26 00:00:00+00:00,63
REPLY,2019-05-26 03:00:00+00:00,143
REPLY,2019-05-26 06:00:00+00:00,347
REPLY,2019-05-26 09:00:00+00:00,439
REPLY,2019-05-26 12:00:00+00:00,332
REPLY,2019-05-26 15:00:00+00:00,524
REPLY,2019-05-26 18:00:00+00:00,985
REPLY,2019-05-26 21:00:00+00:00,767
REPLY,2019-05-27 00:00:00+00:00,117
REPLY,2019-05-27 03:00:00+00:00,263
REPLY,2019-05-27 06:00:00+00:00,517
REPLY,2019-05-27 09:00:00+00:00,538
REPLY,2019-05-27 12:00:00+00:00,572
REPLY,2019-05-27 15:00:00+00:00,527
REPLY,2019-05-27 18:00:00+00:00,661
REPLY,2019-05-27 21:00:00+00:00,234
REPLY,2019-05-28 00:00:00+00:00,38
REPLY,2019-05-28 03:00:00+00:00,154
REPLY,2019-05-28 06:00:00+00:00,408
REPLY,2019-05-28 09:00:00+00:00,439
REPLY,2019-05-28 12:00:00+00:00,745
REPLY,2019-05-28 15:00:00+00:00,531
REPLY,2019-05-28 18:00:00+00:00,517
REPLY,2019-05-28 21:00:00+00:00,224
REPLY,2019-05-29 00:00:00+00:00,51
REPLY,2019-05-29 03:00:00+00:00,186
REPLY,2019-05-29 06:00:00+00:00,306
REPLY,2019-05-29 09:00:00+00:00,297
REPLY,2019-05-29 12:00:00+00:00,253
REPLY,2019-05-29 15:00:00+00:00,237
REPLY,2019-05-29 18:00:00+00:00,233
REPLY,2019-05-29 21:00:00+00:00,136
REPLY,2019-05-30 00:00:00+00:00,15
REPLY,2019-05-30 03:00:00+00:00,110
REPLY,2019-05-30 06:00:00+00:00,229
REPLY,2019-05-30 09:00:00+00:00,230
REPLY,2019-05-30 12:00:00+00:00,287
REPLY,2019-05-30 15:00:00+00:00,256
REPLY,2019-05-30 18:00:00+00:00,243
REPLY,2019-05-30 21:00:00+00:00,165
REPLY,2019-05-31 00:00:00+00:00,33
REPLY,2019-05-31 03:00:00+00:00,117
REPLY,2019-05-31 06:00:00+00:00,214
REPLY,2019-05-31 09:00:00+00:00,241
REPLY,2019-05-31 12:00:00+00:00,211
REPLY,2019-05-31 15:00:00+00:00,218
REPLY,2019-05-31 18:00:00+00:00,231
REPLY,2019-05-31 21:00:00+00:00,119
REPLY,2019-06-01 00:00:00+00:00,15
REPLY,2019-06-01 03:00:00+00:00,88
REPLY,2019-06-01 06:00:00+00:00,184
REPLY,2019-06-01 09:00:00+00:00,23
RETWEET,2019-05-20 06:00:00+00:00,328
RETWEET,2019-05-20 09:00:00+00:00,1208
RETWEET,2019-05-20 12:00:00+00:00,1098
RETWEET,2019-05-20 15:00:00+00:00,1248
RETWEET,2019-05-20 18:00:00+00:00,1777
RETWEET,2019-05-20 21:00:00+00:00,757
RETWEET,2019-05-21 00:00:00+00:00,172
RETWEET,2019-05-21 03:00:00+00:00,359
RETWEET,2019-05-21 06:00:00+00:00,897
RETWEET,2019-05-21 09:00:00+00:00,1513
RETWEET,2019-05-21 12:00:00+00:00,1455
RETWEET,2019-05-21 15:00:00+00:00,1402
RETWEET,2019-05-21 18:00:00+00:00,1814
RETWEET,2019-05-21 21:00:00+00:00,749
RETWEET,2019-05-22 00:00:00+00:00,110
RETWEET,2019-05-22 03:00:00+00:00,661
RETWEET,2019-05-22 06:00:00+00:00,1164
RETWEET,2019-05-22 09:00:00+00:00,2027
RETWEET,2019-05-22 12:00:00+00:00,1669
RETWEET,2019-05-22 15:00:00+00:00,1473
RETWEET,2019-05-22 18:00:00+00:00,2668
RETWEET,2019-05-22 21:00:00+00:00,1062
RETWEET,2019-05-23 00:00:00+00:00,231
RETWEET,2019-05-23 03:00:00+00:00,570
RETWEET,2019-05-23 06:00:00+00:00,1584
RETWEET,2019-05-23 09:00:00+00:00,1538
RETWEET,2019-05-23 12:00:00+00:00,1545
RETWEET,2019-05-23 15:00:00+00:00,1565
RETWEET,2019-05-23 18:00:00+00:00,2450
RETWEET,2019-05-23 21:00:00+00:00,785
RETWEET,2019-05-24 00:00:00+00:00,131
RETWEET,2019-05-24 03:00:00+00:00,586
RETWEET,2019-05-24 06:00:00+00:00,1370
RETWEET,2019-05-24 09:00:00+00:00,1967
RETWEET,2019-05-24 12:00:00+00:00,2073
RETWEET,2019-05-24 15:00:00+00:00,1783
RETWEET,2019-05-24 18:00:00+00:00,3161
RETWEET,2019-05-24 21:00:00+00:00,1278
RETWEET,2019-05-25 00:00:00+00:00,239
RETWEET,2019-05-25 03:00:00+00:00,623
RETWEET,2019-05-25 06:00:00+00:00,1320
RETWEET,2019-05-25 09:00:00+00:00,1775
RETWEET,2019-05-25 12:00:00+00:00,1854
RETWEET,2019-05-25 15:00:00+00:00,2098
RETWEET,2019-05-25 18:00:00+00:00,2242
RETWEET,2019-05-25 21:00:00+00:00,1158
